record,name,selling_price,model_year,vehicle_age,km_driven,seats,fuel_type,seller_type,transmission,owner,mileage,engine,max_power,brand
4553,Maruti Wagon R VXI BSIII,240000,2012,9,35000,5,3,1,2,1,18.9,998,67,Maruti
4554,Honda City i VTEC VX,565000,2014,7,56000,5,3,1,2,2,17.4,1497,117,Honda
4555,Maruti 800 Std,40000,2004,17,120000,4,3,1,2,1,16.1,796,37,Maruti
4556,Tata Indica Vista TDI LX,280000,2014,7,100000,5,4,1,2,1,19.1,1405,70,Tata
4557,Maruti Swift Dzire VDi,315000,2010,11,180000,5,4,1,2,1,19.3,1248,73,Maruti
4558,Maruti Swift Dzire LDi,190000,2008,13,80000,5,4,1,2,2,19.3,1248,73,Maruti
4559,Mahindra Bolero 2011-2019 SLX,550000,2015,6,30000,7,4,1,2,1,15.96,2523,62,Mahindra
4560,Chevrolet Beat Diesel LS,175000,2013,8,68000,5,4,1,2,2,25.44,936,57,Chevrolet
4561,Maruti Ertiga VXI,450000,2013,8,140000,7,3,1,2,1,16.02,1373,93,Maruti
4562,Chevrolet Beat LT,140000,2010,11,75000,5,3,1,2,1,18.6,1199,79,Chevrolet
4563,Honda Brio 1.2 VX MT,325000,2012,9,40000,5,3,2,2,1,18.5,1198,86,Honda
4564,Toyota Corolla Altis 1.8 VL AT,1450000,2017,4,7000,5,3,2,1,2,14.53,1794,138,Toyota
4565,Ford Fiesta EXi 1.4 TDCi Ltd,220000,2011,10,155000,5,4,1,2,2,17.8,1399,68,Ford
4566,Tata Indigo Grand Petrol,135000,2008,13,40000,5,3,1,2,4,12.85,1396,99,Tata
4567,Maruti Ertiga VDI,650000,2015,6,110000,7,4,1,2,3,20.77,1248,88,Maruti
4568,Hyundai i10 Magna LPG,300000,2012,9,60000,5,2,1,2,1,19.2,1086,68,Hyundai
4569,Maruti Swift VDI BSIV,600000,2015,6,31000,5,4,1,2,2,25.2,1248,74,Maruti
4570,Volvo V40 D3 R-Design,2475000,2018,3,2000,5,4,2,1,1,16.8,1984,150,Volvo
4571,Maruti Baleno Alpha 1.3,740000,2018,3,38817,5,4,2,2,1,27.39,1248,74,Maruti
4572,Volvo V40 D3 R-Design,2475000,2018,3,2000,5,4,2,1,1,16.8,1984,150,Volvo
4573,Chevrolet Beat Diesel LT,200000,2015,6,40000,5,4,1,2,1,25.44,936,56,Chevrolet
4574,Maruti Eeco CNG HTR 5-STR,300000,2014,7,90000,5,1,1,2,1,21.94,1196,63,Maruti
4575,Volkswagen Vento 1.5 TDI Highline,565000,2014,7,111000,5,4,1,2,1,20.34,1498,103,Volkswagen
4576,Toyota Fortuner 4x4 MT,1700000,2015,6,78000,7,4,1,2,2,12.55,2982,168,Toyota
4577,Maruti Alto K10 VXI,240000,2015,6,80000,5,3,1,2,2,23.95,998,67,Maruti
4578,Hyundai Elantra CRDi SX,900000,2015,6,145000,5,4,1,2,1,22.7,1582,126,Hyundai
4579,Maruti Wagon R VXI Optional,400000,2017,4,70000,5,3,1,2,1,20.51,998,67,Maruti
4580,Maruti Swift Dzire VDI,700000,2017,4,50000,5,4,1,2,2,28.4,1248,74,Maruti
4581,Toyota Glanza V CVT,894999,2019,2,9654,5,3,2,1,1,19.56,1197,81,Toyota
4582,Tata Sumo Gold EX,434999,2015,6,80000,7,4,1,2,1,15.3,2956,83,Tata
4583,Tata Hexa XM,1200000,2017,4,30000,7,4,1,2,1,17.6,2179,153,Tata
4584,Mahindra Scorpio LX BSIV,550000,2011,10,70000,9,4,1,2,2,12.05,2179,120,Mahindra
4585,Hyundai EON Magna Plus,200000,2013,8,68697,5,3,1,2,3,21.1,814,55,Hyundai
4586,Maruti Zen Estilo LXI BSIII,175000,2009,12,55500,5,3,2,2,1,18.2,998,67,Maruti
4587,BMW X5 3.0d,830000,2008,13,60000,5,4,1,1,3,11,2993,235,BMW
4588,Maruti Swift VXI,595000,2019,2,14548,5,3,2,2,1,21.21,1197,81,Maruti
4589,Ford Ecosport 1.5 Petrol Ambiente,640000,2018,3,6001,5,3,2,2,1,15.9,1496,120,Ford
4590,Hyundai EON Magna Plus,200000,2013,8,80000,5,3,1,2,1,21.1,814,55,Hyundai
4591,Maruti Alto 800 LXI,200000,2012,9,38000,5,3,2,2,2,24.7,796,47,Maruti
4592,Maruti Swift AMT ZXI,655000,2018,3,15732,5,3,2,1,1,22,1197,81,Maruti
4593,Honda City i DTEC E,500000,2015,6,100000,5,4,1,2,1,26,1498,98,Honda
4594,Toyota Camry 2.5 Hybrid,2000000,2016,5,68089,5,3,3,1,1,19.16,2494,157,Toyota
4595,Hyundai EON Magna Plus,300000,2016,5,40800,5,3,1,2,1,21.1,814,55,Hyundai
4596,Hyundai Elite i20 Petrol Magna Exective,590000,2019,2,10000,5,3,1,2,1,18.6,1197,81,Hyundai
4597,Hyundai Grand i10 Magna,300000,2013,8,75000,5,3,1,2,3,18.9,1197,82,Hyundai
4598,Volvo XC40 D4 Inscription BSIV,3800000,2019,2,20000,5,4,1,1,1,18,1969,190,Volvo
4599,Maruti Swift Dzire VDI,650000,2017,4,75000,5,4,1,2,1,26.59,1248,74,Maruti
4600,Honda WR-V i-VTEC S,700000,2017,4,15000,5,3,1,2,1,17.5,1199,88,Honda
4601,Mahindra Scorpio 2006-2009 VLX 2WD 7 Str BSIII,475000,2009,12,120000,7,4,1,2,1,12.05,2179,120,Mahindra
4602,Maruti Swift AMT VVT VXI,650000,2019,2,5621,5,3,3,1,1,22,1197,81,Maruti
4603,Maruti Swift ZXI,345000,2012,9,50000,5,3,1,2,2,18.6,1197,85,Maruti
4604,Hyundai Accent CRDi,120000,2006,15,90000,5,4,1,2,2,13.1,1493,82,Hyundai
4605,Hyundai Verna 1.6 SX CRDi (O),390000,2011,10,153000,5,4,1,2,1,22.32,1582,126,Hyundai
4606,MG Hector Sharp AT BSIV,1750000,2019,2,19000,5,3,2,1,1,13.96,1451,141,MG
4607,Maruti Alto LX,85000,2005,16,150000,5,3,1,2,2,19.7,796,46,Maruti
4608,Maruti Swift Dzire VXi,160000,2008,13,123000,5,3,1,2,3,17.5,1298,85,Maruti
4609,Hyundai Grand i10 1.2 CRDi Sportz,450000,2017,4,56290,5,4,2,2,1,24,1186,73,Hyundai
4610,Ford Fiesta 1.4 Duratorq EXI,125000,2007,14,110000,5,4,1,2,3,17.8,1399,68,Ford
4611,Ford Ikon 1.4 TDCi DuraTorq,140000,2009,12,140000,5,4,1,2,2,13.8,1399,68,Ford
4612,Maruti Ritz VDi,250000,2012,9,89000,5,4,1,2,2,23.2,1248,73,Maruti
4613,Toyota Fortuner 4x4 MT,1700000,2014,7,80000,7,4,1,2,2,12.55,2982,168,Toyota
4614,Hyundai Verna CRDi 1.6 AT SX Option,1150000,2018,3,49000,5,4,1,1,1,22,1582,126,Hyundai
4615,Mahindra Renault Logan 1.5 DLE Diesel,125000,2009,12,120000,5,4,1,2,3,19.2,1461,65,Mahindra
4616,Maruti Swift AMT VVT VXI,650000,2019,2,5621,5,3,3,1,1,22,1197,81,Maruti
4617,Maruti Ritz VDi,425000,2014,7,80000,5,4,1,2,2,23.2,1248,73,Maruti
4618,Maruti 800 DX,60000,1997,24,25000,4,3,1,2,3,16.1,796,37,Maruti
4619,Hyundai Verna Transform SX VGT CRDi,300000,2011,10,110000,5,4,1,2,2,16.2,1493,110,Hyundai
4620,Maruti Ciaz ZDi Plus SHVS,630000,2015,6,70000,5,4,1,2,2,28.09,1248,88,Maruti
4621,Chevrolet Enjoy TCDi LTZ 7 Seater,300000,2013,8,70000,7,4,1,2,1,18.2,1248,73,Chevrolet
4622,Ford Figo Titanium Blu,700000,2019,2,3177,5,3,2,2,1,18.5,1194,94,Ford
4623,Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,680000,2015,6,50000,5,3,1,2,1,15.85,1499,110,Ford
4624,Maruti Omni MPI STD BSIV,260000,2014,7,40000,5,3,1,2,1,16.8,796,34,Maruti
4625,Hyundai i20 Magna 1.2,425000,2014,7,25000,5,3,1,2,1,18.6,1197,81,Hyundai
4626,Mahindra XUV500 W8 4WD,900000,2012,9,100000,7,4,1,2,1,15.1,2179,140,Mahindra
4627,Maruti Wagon R LXI LPG BSIV,200000,2011,10,70000,5,2,1,2,1,26.2,998,58,Maruti
4628,Honda BRV i-DTEC V MT,1100000,2019,2,50000,7,4,1,2,2,21.9,1498,98,Honda
4629,Honda Jazz 1.5 V i DTEC,650000,2016,5,30000,5,4,1,2,2,27.3,1498,98,Honda
4630,Mahindra XUV300 W8 Option BSIV,1090000,2019,2,16500,5,3,2,2,1,17,1197,110,Mahindra
4631,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1050000,2019,2,26000,5,4,2,2,1,23,1498,98,Ford
4632,Maruti Ertiga SHVS VDI,725000,2016,5,110000,7,4,1,2,1,24.52,1248,88,Maruti
4633,Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,2017,4,9000,5,4,2,1,1,13.6,1999,177,Jaguar
4634,Tata Indica Vista Terra 1.4 TDI,200000,2011,10,80000,5,4,1,2,1,17,1405,71,Tata
4635,Tata Tiago 1.2 Revotron XZ,400000,2017,4,26000,5,3,1,2,1,23.84,1199,84,Tata
4636,Hyundai i20 Sportz Option 1.4 CRDi,600000,2015,6,40000,5,4,1,2,1,22.54,1396,88,Hyundai
4637,Renault Captur 1.5 Diesel RXT,900000,2017,4,50000,5,4,1,2,1,20.37,1461,108,Renault
4638,Maruti Baleno LXI,50000,2005,16,90000,5,3,1,2,2,15.4,1590,94,Maruti
4639,Maruti Swift Dzire VDi,360000,2009,12,100000,5,4,1,2,1,19.3,1248,73,Maruti
4640,Maruti Swift Dzire VDI,755000,2018,3,15000,5,4,1,2,1,28.4,1248,74,Maruti
4641,Mahindra Xylo D2,250000,2010,11,120000,8,4,1,2,2,13,2489,95,Mahindra
4642,BMW 3 Series 320d GT Luxury Line,2950000,2017,4,39000,5,4,2,1,1,19.59,1995,187,BMW
4643,Tata Nexon 1.2 Revotron XM,575000,2018,3,70000,5,3,1,2,1,17,1198,108,Tata
4644,Hyundai i10 Sportz 1.2,200000,2009,12,53000,5,3,1,2,2,20.36,1197,78,Hyundai
4645,Mahindra Scorpio M2DI,400000,2011,10,475000,5,4,1,2,3,13.5,2179,115,Mahindra
4646,Ford Aspire Trend Plus,620000,2018,3,15000,5,3,1,2,1,20.4,1194,94,Ford
4647,Mahindra Bolero 2011-2019 SLE,610000,2015,6,40000,7,4,1,2,2,15.96,2523,62,Mahindra
4648,Tata Tiago 1.05 Revotorq XT,450000,2017,4,80000,5,4,1,2,1,27.28,1047,69,Tata
4649,Mahindra Scorpio S3 9 Seater BSIV,1000000,2018,3,35000,7,4,1,2,1,15.4,2523,75,Mahindra
4650,Hyundai Santro Xing GLS,180000,2009,12,80000,5,3,1,2,2,17.92,1086,62,Hyundai
4651,Hyundai EON 1.0 Era Plus,339000,2017,4,25000,5,3,1,2,1,20.3,998,68,Hyundai
4652,Mahindra Scorpio VLX 2WD BSIII,459999,2012,9,70000,8,4,1,2,1,12.05,2179,120,Mahindra
4653,Datsun GO T Option BSIV,350000,2015,6,50000,5,3,1,2,1,20.63,1198,67,Datsun
4654,Hyundai i10 Era,135000,2008,13,80000,5,3,1,2,2,19.81,1086,68,Hyundai
4655,Hyundai Xcent 1.2 VTVT S,480000,2018,3,40000,5,3,1,2,1,20.14,1197,81,Hyundai
4656,Hyundai Verna 1.6 CRDI,440000,2011,10,80000,5,4,1,2,3,22.32,1582,126,Hyundai
4657,Toyota Etios Liva 1.2 V Dual Tone,585000,2017,4,50000,5,3,1,2,1,17.71,1197,78,Toyota
4658,Volkswagen Polo Diesel Highline 1.2L,350000,2013,8,80000,5,4,1,2,1,22.07,1199,73,Volkswagen
4659,Volkswagen Polo Diesel Highline 1.2L,388000,2011,10,80000,5,4,1,2,2,22.07,1199,73,Volkswagen
4660,Hyundai i10 Sportz,300000,2013,8,30000,5,3,1,2,2,20.36,1197,78,Hyundai
4661,Maruti Swift Dzire VXI,400000,2014,7,50000,5,3,1,2,1,19.1,1197,85,Maruti
4662,Mahindra Scorpio S10 7 Seater,1100000,2015,6,52269,7,4,1,2,1,15.4,2179,120,Mahindra
4663,Chevrolet Beat Diesel LS,210000,2013,8,96272,5,4,1,2,1,25.44,936,57,Chevrolet
4664,Maruti Swift AMT ZXI,600000,2018,3,69779,5,3,2,1,1,22,1197,81,Maruti
4665,Mahindra Bolero SLX,300000,2009,12,170000,7,4,1,2,3,13.6,2523,63,Mahindra
4666,Nissan Micra Diesel XV,275000,2011,10,45000,5,4,1,2,1,23.08,1461,63,Nissan
4667,Hyundai i10 LPG,275000,2012,9,97000,5,2,1,2,3,19,1086,68,Hyundai
4668,Mahindra Bolero 2011-2019 ZLX BSIII,720000,2016,5,35000,7,4,1,2,1,15.96,2523,62,Mahindra
4669,Hyundai i20 1.2 Spotz,640000,2017,4,22512,5,3,1,2,1,18.6,1197,81,Hyundai
4670,Maruti Swift ZXI BSIV,730000,2018,3,4773,5,3,2,2,1,22,1197,81,Maruti
4671,Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,2013,8,79328,7,4,3,2,2,12.99,2494,100,Toyota
4672,Maruti Alto LXi,180000,2012,9,80000,5,3,1,2,3,19.7,796,46,Maruti
4673,Maruti SX4 ZDI Leather,380000,2012,9,80000,5,4,1,2,4,21.5,1248,88,Maruti
4674,Nissan Sunny XV D,580000,2017,4,90000,5,4,1,2,2,22.71,1461,84,Nissan
4675,Hyundai i20 1.4 CRDi Sportz,350000,2011,10,116500,5,4,1,2,1,23,1396,90,Hyundai
4676,Mahindra Scorpio VLX 2WD BSIV,750000,2012,9,120000,8,4,1,2,1,12.05,2179,120,Mahindra
4677,Fiat Avventura Power Up 1.3 Emotion,500000,2015,6,96500,5,4,1,2,1,20.5,1248,91,Fiat
4678,Tata Tigor 1.2 Revotron XT,450000,2018,3,35000,5,3,1,2,1,20.3,1199,84,Tata
4679,Mahindra Verito 1.5 D4 BSIV,260000,2012,9,70000,5,4,1,2,2,21.03,1461,65,Mahindra
4680,Maruti Alto LX,125000,2010,11,80000,5,3,1,2,4,19.7,796,46,Maruti
4681,Mahindra Scorpio VLX 2WD AIRBAG BSIII,550000,2011,10,260000,8,4,1,2,4,12.05,2179,120,Mahindra
4682,Hyundai EON Era Plus,185000,2012,9,50000,5,3,1,2,2,21.1,814,55,Hyundai
4683,Nissan Sunny Diesel XL,220000,2012,9,110000,5,4,1,2,3,21.64,1461,84,Nissan
4684,Maruti Ertiga VDI,459999,2012,9,87000,7,4,1,2,1,20.77,1248,88,Maruti
4685,Maruti Swift VDI,325000,2011,10,70000,5,4,1,2,1,22.9,1248,74,Maruti
4686,Maruti Gypsy King ST BSIII,350000,2010,11,80000,8,3,1,2,1,11.96,1298,80,Maruti
4687,Maruti Ertiga ZDI,450000,2012,9,98000,7,4,1,2,4,20.77,1248,88,Maruti
4688,Hyundai Santro Xing GLS,165000,2011,10,75000,5,3,1,2,1,17.92,1086,62,Hyundai
4689,Honda Jazz VX Diesel,525000,2015,6,63000,5,4,2,2,1,27.3,1498,98,Honda
4690,Honda Brio Exclusive Edition,355000,2013,8,80000,5,3,1,2,1,19.4,1198,86,Honda
4691,Hyundai i20 1.2 Sportz,350000,2012,9,35000,5,3,1,2,1,17,1197,80,Hyundai
4692,Mahindra Bolero 2011-2019 DI NON AC BS III White,400000,2013,8,80000,9,4,1,2,1,15.96,2523,63,Mahindra
4693,Maruti Wagon R LXI,225000,2013,8,58343,5,3,3,2,1,21.79,998,67,Maruti
4694,Maruti Wagon R LXI Minor,125000,2009,12,120000,5,3,1,2,4,18.9,1061,67,Maruti
4695,Maruti Ritz VXi,350000,2014,7,25000,5,3,1,2,1,18.5,1197,85,Maruti
4696,Hyundai i10 Asta,275000,2008,13,98000,5,3,1,2,3,20.36,1197,78,Hyundai
4697,Ford EcoSport 1.5 TDCi Titanium BSIV,934000,2017,4,101000,5,4,1,2,1,22.77,1498,98,Ford
4698,Tata Tiago 1.05 Revotorq XZ WO Alloy,450000,2017,4,89000,5,4,1,2,1,27.28,1047,69,Tata
4699,Hyundai Grand i10 1.2 CRDi Sportz,450000,2017,4,56290,5,4,2,2,1,24,1186,73,Hyundai
4700,Chevrolet Aveo U-VA 1.2,148000,2010,11,70000,5,3,1,2,3,14.7,1150,76,Chevrolet
4701,Datsun GO A EPS,350000,2016,5,16500,5,3,1,2,1,20.63,1198,67,Datsun
4702,Hyundai i10 Magna 1.2 iTech SE,325000,2013,8,70000,5,3,1,2,1,20.36,1197,78,Hyundai
4703,Mahindra TUV 300 T8,710000,2017,4,120000,7,4,1,2,1,18.49,1493,100,Mahindra
4704,Chevrolet Beat Diesel LT,150000,2012,9,70000,5,4,1,2,2,25.44,936,57,Chevrolet
4705,Chevrolet Beat LT,120000,2011,10,60000,5,3,1,2,1,18.6,1199,79,Chevrolet
4706,Ford Fiesta 1.4 SXi TDCi ABS,175000,2008,13,163000,5,4,1,2,3,17.8,1399,68,Ford
4707,Maruti Alto 800 LXI,275000,2017,4,58000,5,3,1,2,1,24.7,796,47,Maruti
4708,Tata Indigo CS LS (TDI) BS-III,300000,2014,7,50700,5,4,1,2,1,19.09,1405,69,Tata
4709,Ford Figo Diesel Titanium,220000,2012,9,110000,5,4,1,2,1,20,1399,68,Ford
4710,Datsun GO T BSIV,329000,2016,5,19000,5,3,1,2,1,20.63,1198,67,Datsun
4711,Jaguar XF 2.2 Litre Luxury,2450000,2013,8,60000,5,4,1,1,1,16.36,2179,187,Jaguar
4712,Maruti Swift VDI,416000,2012,9,90000,5,4,1,2,2,22.9,1248,74,Maruti
4713,Tata Indica V2 DLS BSIII,170000,2013,8,120000,5,4,1,2,2,17.88,1405,48,Tata
4714,Maruti Eeco 5 Seater AC BSIV,260000,2013,8,26000,5,3,1,2,1,15.37,1196,73,Maruti
4715,Hyundai Creta 1.6 CRDi SX Option,822000,2015,6,60000,5,4,1,2,1,19.67,1582,126,Hyundai
4716,Maruti Swift Dzire VDI,580000,2014,7,88000,5,4,1,2,1,23.4,1248,74,Maruti
4717,Ford EcoSport 1.5 Diesel Trend BSIV,900000,2019,2,35000,5,4,1,2,1,23,1498,98,Ford
4718,Chevrolet Spark 1.0 LS,169000,2011,10,41000,5,3,1,2,1,18,995,62,Chevrolet
4719,Toyota Innova Crysta 2.8 GX AT 8S BSIV,1925000,2019,2,43000,8,4,2,1,1,11.36,2755,171,Toyota
4720,Maruti Swift Dzire VDi,430000,2012,9,110000,5,4,1,2,2,19.3,1248,73,Maruti
4721,Maruti Ertiga VDI,450000,2014,7,15000,7,4,1,2,2,20.77,1248,88,Maruti
4722,Volkswagen Polo 1.5 TDI Comfortline,695000,2019,2,36800,5,4,2,2,1,20.14,1498,88,Volkswagen
4723,Tata Indigo CS LS (TDI) BS-III,350000,2015,6,52000,5,4,1,2,1,19.09,1405,69,Tata
4724,Toyota Corolla Altis D-4D J,780000,2015,6,129000,5,4,1,2,3,21.43,1364,87,Toyota
4725,Fiat Linea 1.3 Multijet Emotion,700000,2015,6,20000,5,4,1,2,1,20.4,1248,91,Fiat
4726,Ford Figo Diesel EXI,250000,2011,10,55130,5,4,2,2,2,20,1399,68,Ford
4727,Honda Amaze VX O iDTEC,409999,2015,6,60000,5,4,1,2,1,25.8,1498,98,Honda
4728,Tata Indica V2 DLE BSIII,114999,2011,10,172000,5,4,1,2,2,17.88,1396,52,Tata
4729,BMW 6 Series GT 630d Luxury Line,5830000,2018,3,30000,4,4,1,1,1,17.09,2993,261,BMW
4730,Hyundai i20 2015-2017 Sportz 1.4 CRDi,575000,2017,4,50000,5,4,1,2,1,22.54,1396,88,Hyundai
4731,Maruti Celerio VXI,484999,2019,2,4875,5,3,2,2,1,21.63,998,67,Maruti
4732,Hyundai EON 1.0 Kappa Magna Plus Optional,350000,2018,3,10000,5,3,1,2,2,20.3,998,68,Hyundai
4733,Honda Civic 1.8 V AT,280000,2009,12,40000,5,3,1,1,3,12.9,1799,130,Honda
4734,Maruti Swift AMT ZXI,600000,2018,3,69779,5,3,2,1,1,22,1197,81,Maruti
4735,Hyundai i10 Magna,235000,2011,10,60000,5,3,1,2,2,20.36,1197,78,Hyundai
4736,Skoda Fabia 1.2 TDI Active Plus,199000,2012,9,50000,5,4,1,2,2,20.86,1199,75,Skoda
4737,Hyundai Xcent 1.1 CRDi Base,320000,2015,6,90000,5,4,1,2,2,24.4,1120,71,Hyundai
4738,Hyundai i20 1.4 CRDi Asta,300000,2012,9,120000,5,4,1,2,2,23,1396,90,Hyundai
4739,Hyundai Elite i20 Magna Plus BSIV,625000,2019,2,12500,5,3,1,2,1,18.6,1197,81,Hyundai
4740,Maruti Wagon R LXI Optional,350000,2016,5,25000,5,3,1,2,1,20.51,998,67,Maruti
4741,Hyundai i20 1.2 Spotz,600000,2018,3,40000,5,3,1,2,1,18.6,1197,81,Hyundai
4742,Mahindra KUV 100 mFALCON G80 K8,450000,2016,5,15000,6,3,1,2,2,18.15,1198,82,Mahindra
4743,Mercedes-Benz E-Class Exclusive E 200 BSIV,5200000,2019,2,17000,5,3,2,1,1,15,1991,194,Mercedes-Benz
4744,Mahindra Bolero 2011-2019 SLX,700000,2017,4,70000,7,4,1,2,1,15.96,2523,62,Mahindra
4745,Audi A3 35 TDI Premium Plus,3000000,2018,3,20000,5,4,1,1,1,20.38,1968,143,Audi
4746,Toyota Innova Crysta 2.8 GX AT 8S BSIV,1800000,2018,3,20000,8,4,2,1,1,11.36,2755,171,Toyota
4747,Skoda Octavia Ambiente 1.9 TDI MT,195000,2007,14,175000,5,4,1,2,2,18.7,1896,66,Skoda
4748,Maruti Vitara Brezza ZDi,835000,2018,3,17000,5,4,2,2,1,24.3,1248,88,Maruti
4749,Maruti Wagon R CNG LXI,270000,2013,8,80000,5,1,1,2,2,32.52,998,58,Maruti
4750,Ford EcoSport 1.5 TDCi Titanium BSIV,500000,2014,7,130000,5,4,1,2,2,22.77,1498,98,Ford
4751,Maruti Swift Dzire VDI,525000,2013,8,116000,5,4,1,2,2,23.4,1248,74,Maruti
4752,Volkswagen Ameo 1.5 TDI Comfortline AT,625000,2017,4,34000,5,4,1,1,1,22,1498,108,Volkswagen
4753,Hyundai Sonata 2.4 GDi MT,525000,2012,9,70000,5,3,1,2,2,13.44,2359,198,Hyundai
4754,Nissan Micra Active XV S,300000,2015,6,80000,5,3,1,2,1,19.49,1198,67,Nissan
4755,Maruti Ertiga VDI,725000,2017,4,76000,7,4,2,2,1,25.47,1248,88,Maruti
4756,Maruti Baleno Sigma 1.2,515000,2017,4,23000,5,3,1,2,1,21.4,1197,83,Maruti
4757,Renault Duster 110PS Diesel RxZ,600000,2015,6,160000,5,4,1,2,1,19.01,1461,108,Renault
4758,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,550000,2015,6,138000,5,4,1,2,1,22.77,1498,98,Ford
4759,Toyota Innova 2.5 E Diesel MS 8-seater,290000,2008,13,126000,8,4,1,2,3,12.8,2494,102,Toyota
4760,Honda City i DTEC S,600000,2015,6,54700,5,4,2,2,1,26,1498,98,Honda
4761,Hyundai Grand i10 Asta,550000,2016,5,70000,5,3,1,2,1,18.9,1197,82,Hyundai
4762,Toyota Innova 2.5 G (Diesel) 8 Seater,860000,2015,6,90000,8,4,1,2,2,12.99,2494,100,Toyota
4763,Tata Safari DICOR 2.2 EX 4x2,325000,2012,9,120000,7,4,1,2,1,13.93,2179,138,Tata
4764,Volkswagen Vento 1.5 TDI Highline,550000,2015,6,120000,5,4,1,2,2,20.34,1498,103,Volkswagen
4765,Maruti Alto LX,120000,2009,12,58000,5,3,1,2,1,19.7,796,46,Maruti
4766,Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,675000,2016,5,108000,5,4,2,2,1,23.65,1248,88,Maruti
4767,Tata Zest Quadrajet 1.3 XMS,280000,2014,7,60000,5,4,1,2,2,23,1248,88,Tata
4768,Hyundai Verna 1.6 VGT CRDi,425000,2012,9,100000,5,4,1,2,2,22.32,1582,126,Hyundai
4769,Maruti Swift Dzire VDI,600000,2015,6,100000,5,4,1,2,1,26.59,1248,74,Maruti
4770,Toyota Innova 2.5 GX 7 STR,650000,2009,12,242000,7,4,1,2,4,12.8,2494,102,Toyota
4771,Ford Fiesta 1.4 Duratorq ZXI,210000,2007,14,110000,5,4,1,2,1,17.8,1399,68,Ford
4772,Ford EcoSport 1.5 TDCi Titanium BSIV,650000,2016,5,125000,5,4,1,2,1,22.77,1498,98,Ford
4773,Honda Amaze S i-Dtech,250000,2013,8,90000,5,4,1,2,3,25.8,1498,98,Honda
4774,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,900000,2017,4,35000,5,4,1,2,1,23,1498,98,Ford
4775,Nissan Sunny Diesel XL,220000,2012,9,110000,5,4,1,2,3,21.64,1461,84,Nissan
4776,Maruti Zen LXI,60000,2005,16,90000,5,3,1,2,2,17.3,993,60,Maruti
4777,Mahindra Bolero 2011-2019 SLX,450000,2013,8,70000,7,4,1,2,1,15.96,2523,62,Mahindra
4778,Hyundai Grand i10 CRDi SportZ Edition,375000,2014,7,76000,5,4,1,2,3,24,1120,70,Hyundai
4779,Hyundai Creta 1.6 SX Option,1150000,2019,2,31000,5,3,2,2,1,15.8,1591,121,Hyundai
4780,Maruti Ritz VDi,325000,2014,7,90000,5,4,1,2,2,23.2,1248,73,Maruti
4781,Maruti Ignis 1.2 Zeta BSIV,577000,2019,2,3000,5,3,1,2,1,20.89,1197,81,Maruti
4782,Tata Nano XTA,250000,2015,6,20000,4,3,1,1,1,21.9,624,37,Tata
4783,Maruti Alto 800 LXI,295000,2017,4,15000,5,3,1,2,1,24.7,796,47,Maruti
4784,Volvo V40 D3 R-Design,2475000,2018,3,2000,5,4,2,1,1,16.8,1984,150,Volvo
4785,Skoda Rapid 1.6 MPI AT Elegance,645000,2016,5,11000,5,3,2,1,1,14.3,1598,103,Skoda
4786,Hyundai Grand i10 1.2 Kappa Sportz Option,530000,2017,4,50000,5,3,1,2,1,18.9,1197,81,Hyundai
4787,Toyota Platinum Etios 1.4 GXD,780000,2018,3,116000,5,4,1,2,1,23.59,1364,67,Toyota
4788,Mahindra Verito 1.5 D4 BSIV,260000,2012,9,110000,5,4,1,2,1,21.03,1461,65,Mahindra
4789,Hyundai EON Magna Plus,215000,2013,8,47000,5,3,1,2,2,21.1,814,55,Hyundai
4790,Mahindra XUV500 W8 2WD,850000,2014,7,60000,7,4,1,2,1,15.1,2179,140,Mahindra
4791,Hyundai EON Era Plus,310000,2016,5,25000,5,3,1,2,1,21.1,814,55,Hyundai
4792,Tata Zest Quadrajet 1.3 XT,484999,2017,4,35000,5,4,1,2,1,20.65,1248,88,Tata
4793,Maruti 800 AC,121000,2013,8,50000,4,3,1,2,2,16.1,796,37,Maruti
4794,Maruti Ritz VDi,220000,2012,9,70000,5,4,1,2,2,23.2,1248,73,Maruti
4795,Hyundai Xcent 1.2 Kappa S Option,375000,2014,7,52000,5,3,1,2,1,19.1,1197,81,Hyundai
4796,Mahindra Bolero 2011-2019 SLX,550000,2013,8,90000,7,4,1,2,1,15.96,2523,62,Mahindra
4797,Maruti Wagon R VXI BS IV with ABS,215000,2010,11,120600,5,3,1,2,2,18.9,998,67,Maruti
4798,Chevrolet Beat Diesel LT Option,170000,2014,7,76000,5,4,1,2,2,25.44,936,56,Chevrolet
4799,Tata Zest Quadrajet 1.3 XM,360000,2016,5,110000,5,4,1,2,1,23,1248,88,Tata
4800,Honda Amaze S i-VTEC,690000,2019,2,1303,5,3,2,2,1,17.8,1198,86,Honda
4801,Maruti Alto K10 VXI,335000,2017,4,25000,5,3,1,2,1,23.95,998,67,Maruti
